GEO.id,GEO.id2,GEO.display-label,GOVTYPE.id,GOVTYPE.display-label,FINITEM.id,FINITEM.display-label,YEAR.id,AMOUNT,AMOUNT_CV
0100000US,,United States,1,State and Local ,221419,"Direct general expenditure from social services and income maintenance, public welfare, other public welfare",2015,81708494,0.19
0100000US,,United States,1,State and Local ,22142,"Direct general expenditure from social services and income maintenance, hospitals, total",2015,171867863,0.57
0100000US,,United States,1,State and Local ,221421,"Direct general expenditure from social services and income maintenance, hospitals, capital outlay",2015,8500128,0.33
0100000US,,United States,1,State and Local ,22143,"Direct general expenditure from social services and income maintenance, health",2015,92914150,0.49
0100000US,,United States,1,State and Local ,22144,"Direct general expenditure from social services and income maintenance, employment security administration",2015,4113905,0
0100000US,,United States,1,State and Local ,22145,"Direct general expenditure from social services and income maintenance, veterans' services",2015,973227,0
0100000US,,United States,1,State and Local ,2215,"Direct general expenditure from transportation, total",2015,X,X
0100000US,,United States,1,State and Local ,22151,"Direct general expenditure from transportation, highways, total",2015,168327508,0.24
0100000US,,United States,1,State and Local ,221511,"Direct general expenditure from transportation, highways, capital outlay",2015,92479632,0.3
0100000US,,United States,1,State and Local ,22152,"Direct general expenditure from transportation, air transportation (airports)",2015,22420130,0.33
0100000US,,United States,1,State and Local ,22153,"Direct general expenditure from transportation, parking facilities",2015,1954932,1.56
0100000US,,United States,1,State and Local ,22154,"Direct general expenditure from transportation, sea and inland port facilities",2015,6259292,1.27
0100000US,,United States,1,State and Local ,2216,"Direct general expenditure from public safety, total",2015,X,X
0100000US,,United States,1,State and Local ,22161,"Direct general expenditure from public safety, police protection",2015,105151832,0.37
0100000US,,United States,1,State and Local ,22162,"Direct general expenditure from public safety, fire protection",2015,45816622,0.65
0100000US,,United States,1,State and Local ,22163,"Direct general expenditure from public safety, correction, total",2015,76728556,0.14
0100000US,,United States,1,State and Local ,221631,"Direct general expenditure from public safety, correction, capital outlay",2015,2744357,1.06
0100000US,,United States,1,State and Local ,22164,"Direct general expenditure from public safety, protective inspection and regulation",2015,13708055,0.63
0100000US,,United States,1,State and Local ,2217,"Direct general expenditure from enviroment and housing, total",2015,X,X
0100000US,,United States,1,State and Local ,22171,"Direct general expenditure from enviroment and housing, natural resources, total",2015,28757171,0.48
0100000US,,United States,1,State and Local ,221711,"Direct general expenditure from enviroment and housing, natural resources, capital outlay",2015,4905823,0.97
0100000US,,United States,1,State and Local ,22172,"Direct general expenditure from enviroment and housing, parks and recreation, total",2015,39462067,1.07
0100000US,,United States,1,State and Local ,221721,"Direct general expenditure from enviroment and housing, parks and recreation, capital outlay",2015,8182751,1.39
0100000US,,United States,1,State and Local ,22173,"Direct general expenditure from enviroment and housing, housing and community development",2015,49860800,1.01
0100000US,,United States,1,State and Local ,22174,"Direct general expenditure from enviroment and housing, sewerage, total",2015,52408973,0.66
0100000US,,United States,1,State and Local ,221741,"Direct general expenditure from enviroment and housing, sewerage, capital outlay",2015,17836386,1.16
0100000US,,United States,1,State and Local ,22175,"Direct general expenditure from enviroment and housing, solid waste management, total",2015,23551197,0.59
0100000US,,United States,1,State and Local ,221751,"Direct general expenditure from enviroment and housing, solid waste management, capital outlay",2015,1977701,1
0100000US,,United States,1,State and Local ,2218,"Direct general expenditure from government administration, total",2015,X,X
0100000US,,United States,1,State and Local ,22181,"Direct general expenditure from government administration, financial administration",2015,41926660,0.24
0100000US,,United States,1,State and Local ,22182,"Direct general expenditure from government administration, judicial and legal",2015,44093518,0.31
0100000US,,United States,1,State and Local ,22183,"Direct general expenditure from government administration, general public buildings",2015,14736965,0.49
0100000US,,United States,1,State and Local ,22189,"Direct general expenditure from government administration, other governmental administration",2015,29994735,0.75
0100000US,,United States,1,State and Local ,2219,Interest on general debt,2015,105718363,0.7
0100000US,,United States,1,State and Local ,0221A,Direct general expenditure from interest on general debt,2015,X,X
0100000US,,United States,1,State and Local ,0221A1,Miscellaneous commercial activities,2015,7392531,2.59
0100000US,,United States,1,State and Local ,0221A9,Other and unallocable,2015,132125181,0.31
0100000US,,United States,1,State and Local ,222,"Utility expenditure, total",2015,227685404,0.28
0100000US,,United States,1,State and Local ,2221,"Utility expenditure, capital outlay",2015,54107473,0.5
0100000US,,United States,1,State and Local ,2222,"Utility expenditure, water supply",2015,67857269,0.64
0100000US,,United States,1,State and Local ,2223,"Utility expenditure, electric supply",2015,79342617,0.52
0100000US,,United States,1,State and Local ,2224,"Utility expenditure, gas supply",2015,7420538,1.18
0100000US,,United States,1,State and Local ,2225,"Utility expenditure, transit",2015,73064980,0.27
0100000US,,United States,1,State and Local ,223,Liquor store expenditure,2015,7287495,0.24
0100000US,,United States,1,State and Local ,224,"Insurance trust expenditure, total",2015,324132339,1.01
0100000US,,United States,1,State and Local ,2241,"Insurance trust expenditure, unemployment compensation",2015,33351774,0
0100000US,,United States,1,State and Local ,2242,"Insurance trust expenditure, employee retirement",2015,274442962,1.2
0100000US,,United States,1,State and Local ,2243,"Insurance trust expenditure, workers' compensation",2015,9772652,0
0100000US,,United States,1,State and Local ,2249,"Insurance trust expenditure, other insurance trust",2015,6564951,0
0100000US,,United States,1,State and Local ,3,"Debt outstanding, total",2015,2997765483,0.21
0100000US,,United States,1,State and Local ,31,"Debt outstanding, short-term",2015,35187874,0.87
0100000US,,United States,1,State and Local ,32,"Debt outstanding, long-term, total",2015,2962577609,0.21
0100000US,,United States,1,State and Local ,321,"Debt outstanding, long-term, public debt for private purposes",2015,549996558,0.41
0100000US,,United States,1,State and Local ,33,Long-term debt issued,2015,362037843,0.3
0100000US,,United States,1,State and Local ,34,Long-term debt retired,2015,365051383,0.36
0100000US,,United States,1,State and Local ,4,Cash and security holdings,2015,6214268805,0.13
0100000US,,United States,1,State and Local ,41,"Cash and security holdings, insurance trust funds, total",2015,3785105537,0.13
0100000US,,United States,1,State and Local ,411,"Cash and security holdings, insurance trust funds, unemployment compensation",2015,30565034,0
0100000US,,United States,1,State and Local ,412,"Cash and security holdings, insurance trust funds, employee retirement",2015,3646138677,0.14
0100000US,,United States,1,State and Local ,413,"Cash and security holdings, insurance trust funds, workers'compensation",2015,99140258,0
0100000US,,United States,1,State and Local ,419,"Cash and security holdings, insurance trust funds, miscellaneous",2015,9261568,0
0100000US,,United States,1,State and Local ,42,"Cash and security holdings excluding insurance trust funds, total",2015,2429163268,0.27
0100000US,,United States,1,State and Local ,421,"Cash and security holdings excluding insurance trust funds, offsets to debt",2015,749344442,0.35
0100000US,,United States,1,State and Local ,422,"Cash and security holdings excluding insurance trust funds, bond funds",2015,194320660,0.69
0100000US,,United States,1,State and Local ,429,"Cash and security holdings excluding insurance trust funds, other",2015,1485498166,0.4
0100000US,,United States,2,State,1,Total Revenue,2015,2159747677,0
0100000US,,United States,2,State,11,"General revenue, total",2015,1852900299,0
0100000US,,United States,2,State,111,"General revenue, intergovernmental, total",2015,604818048,0
0100000US,,United States,2,State,1112,"General revenue, intergovernmental from federal government",2015,590573617,0
0100000US,,United States,2,State,1113,"General revenue, intergovernmental from state governments",2015,X,X
0100000US,,United States,2,State,1114,"General revenue, intergovernmental from local governments",2015,14244431,0
0100000US,,United States,2,State,112,General revenue from own sources,2015,1248082251,0
0100000US,,United States,2,State,1121,"General revenue from taxes, total",2015,911042787,0
0100000US,,United States,2,State,11211,General revenue from property taxes,2015,15303430,0
0100000US,,United States,2,State,11212,"General revenue from sales taxes and gross receipts, total",2015,431154042,0
0100000US,,United States,2,State,112121,"General revenue from sales taxes and gross receipts, general sales",2015,286383078,0
0100000US,,United States,2,State,112122,"General revenue from sales taxes and gross receipts, selective sales",2015,144770964,0
0100000US,,United States,2,State,1121221,"General revenue from sales taxes and gross receipts, selective sales, motor fuel",2015,42499340,0
0100000US,,United States,2,State,1121222,"General revenue from sales taxes and gross receipts, selective sales, alcoholic beverage",2015,6424636,0
0100000US,,United States,2,State,1121223,"General revenue from sales taxes and gross receipts, selective sales, tobacco products",2015,17710167,0
0100000US,,United States,2,State,1121224,"General revenue from sales taxes and gross receipts, selective sales, public utilities",2015,13438315,0
0100000US,,United States,2,State,1121229,"General revenue from sales taxes and gross receipts, selective sales, other selective sales",2015,64698506,0
0100000US,,United States,2,State,1121231,General revenue from individual income taxes,2015,336234183,0
0100000US,,United States,2,State,112124,General revenue from corporate income taxes,2015,48655836,0
0100000US,,United States,2,State,1121241,General revenue from motor vehicle licenses,2015,24488242,0
0100000US,,United States,2,State,112129,"Taxes, NEC",2015,55207054,0
0100000US,,United States,2,State,1122,General revenue from charges and miscellaneous general revenue,2015,337039464,0
0100000US,,United States,2,State,11221,"General revenue from current charges, total",2015,200588909,0
0100000US,,United States,2,State,112211,"General revenue from current charges, education",2015,100053268,0
0100000US,,United States,2,State,1122111,"General revenue from current charges, education, institutions of higher education",2015,98956906,0
0100000US,,United States,2,State,1122112,"General revenue from current charges, education, school lunch sales (gross)",2015,30855,0
0100000US,,United States,2,State,112212,"General revenue from current charges, hospitals",2015,61918802,0
0100000US,,United States,2,State,112213,"General revenue from current charges, highways",2015,9658830,0
0100000US,,United States,2,State,112214,"General revenue from current charges, air transportation (airports)",2015,1551871,0
0100000US,,United States,2,State,112215,"General revenue from current charges, parking facilities",2015,22579,0
0100000US,,United States,2,State,112216,"General revenue from current charges, sea and inland port facilities",2015,1626838,0
0100000US,,United States,2,State,112217,"General revenue from current charges, natural resources",2015,2816473,0
0100000US,,United States,2,State,112218,"General revenue from current charges, parks and recreation",2015,1700509,0
0100000US,,United States,2,State,112219,"General revenue from current charges, housing and community development",2015,691418,0
0100000US,,United States,2,State,011221A,"General revenue from current charges, sewerage",2015,991274,0
0100000US,,United States,2,State,011221B,"General revenue from current charges, solid waste management",2015,394229,0
0100000US,,United States,2,State,011221Z,"General revenue from current charges, other charges",2015,19162818,0
0100000US,,United States,2,State,11222,"General revenue from miscellaneous general revenue, total",2015,136450555,0
0100000US,,United States,2,State,112221,"General revenue from miscellaneous general revenue, interest earnings",2015,32111825,0
0100000US,,United States,2,State,112222,"General revenue from miscellaneous general revenue, special assessments",2015,44158,0
0100000US,,United States,2,State,112223,"General revenue from miscellaneous general revenue, sale of property",2015,1278350,0
0100000US,,United States,2,State,112229,"General revenue from miscellaneous general revenue, other general revenue",2015,103016222,0
0100000US,,United States,2,State,12,"Utility revenue, total",2015,14714935,0
0100000US,,United States,2,State,121,"Utility revenue, water supply",2015,286088,0
0100000US,,United States,2,State,122,"Utility revenue, electric power",2015,10550448,0
0100000US,,United States,2,State,123,"Utility revenue, gas supply",2015,11827,0
0100000US,,United States,2,State,124,"Utility revenue, transit",2015,3866572,0
0100000US,,United States,2,State,13,Liquor store revenue,2015,7576058,0
0100000US,,United States,2,State,14,"Insurance trust revenue, total",2015,284556385,0
0100000US,,United States,2,State,141,"Insurance trust revenue, unemployment compensation",2015,52281509,0
0100000US,,United States,2,State,142,"Insurance trust revenue, employee retirement",2015,208970184,0
0100000US,,United States,2,State,143,"Insurance trust revenue, workers'compensation",2015,15712648,0
0100000US,,United States,2,State,149,"Insurance trust revenue, other insurance trust revenue",2015,7592044,0
0100000US,,United States,2,State,2,Total expenditure,2015,2149513004,0
0100000US,,United States,2,State,21,Total expenditure by character and object:,2015,X,X
0100000US,,United States,2,State,211,Intergovernmental expenditure,2015,515411338,0
0100000US,,United States,2,State,212,"Direct expenditure, total",2015,1634101666,0
0100000US,,United States,2,State,2121,Direct expenditure from current operations,2015,1141979515,0
0100000US,,United States,2,State,2122,"Direct expenditure from capital outlay, total",2015,124446355,0
0100000US,,United States,2,State,21221,"Direct expenditure from capital outlay, construction",2015,105387373,0
0100000US,,United States,2,State,21222,Direct expenditure from capital outlay excluding construction,2015,19058982,0
0100000US,,United States,2,State,2123,Direct expenditure from assistance and subsidies,2015,45221328,0
0100000US,,United States,2,State,2124,Direct expenditure from interest on debt,2015,47387309,0
0100000US,,United States,2,State,2125,Direct expenditure from insurance benefits and repayments,2015,275067159,0
0100000US,,United States,2,State,2126,Direct expenditure exhibit: Salaries and wages,2015,259094665,0
0100000US,,United States,2,State,22,Direct expenditure by function:,2015,1634101666,0
0100000US,,United States,2,State,221,"Direct general expenditure, total",2015,1324135840,0
0100000US,,United States,2,State,2211,"Direct general expenditure, capital outlay",2015,115584913,0
0100000US,,United States,2,State,2212,Direct general expenditure excluding capital outlay,2015,1208550927,0
0100000US,,United States,2,State,2213,Direct general expenditure from education services:,2015,X,X
0100000US,,United States,2,State,22131,"Direct general expenditure from education, total",2015,291557422,0
0100000US,,United States,2,State,221311,"Direct general expenditure from education, capital outlay",2015,28724291,0
0100000US,,United States,2,State,22132,"Direct general expenditure from education, higher education, total",2015,232706452,0
0100000US,,United States,2,State,221321,"Direct general expenditure from education, higher education, capital outlay",2015,26980285,0
0100000US,,United States,2,State,22133,"Direct general expenditure from education, elementary & secondary, total",2015,6612574,0
0100000US,,United States,2,State,221331,"Direct general expenditure from education, elementary & secondary, capital outlay",2015,903846,0
0100000US,,United States,2,State,22134,"Direct general expenditure from education, other education",2015,52238396,0
0100000US,,United States,2,State,22135,"Direct general expenditure from education, libraries",2015,418669,0
0100000US,,United States,2,State,2214,Direct general expenditure from social services and income maintenance:,2015,X,X
0100000US,,United States,2,State,22141,"Direct general expenditure from social services and income maintenance, public welfare, total",2015,555393767,0
0100000US,,United States,2,State,221411,"Direct general expenditure from social services and income maintenance, public welfare, cash assistance payments",2015,11785784,0
0100000US,,United States,2,State,221412,"Direct general expenditure from social services and income maintenance, public welfare, vendor payments",2015,498408117,0
0100000US,,United States,2,State,221419,"Direct general expenditure from social services and income maintenance, public welfare, other public welfare",2015,45199866,0
0100000US,,United States,2,State,22142,"Direct general expenditure from social services and income maintenance, hospitals, total",2015,74226275,0
0100000US,,United States,2,State,221421,"Direct general expenditure from social services and income maintenance, hospitals, capital outlay",2015,3376501,0
0100000US,,United States,2,State,22143,"Direct general expenditure from social services and income maintenance, health",2015,44114770,0
0100000US,,United States,2,State,22144,"Direct general expenditure from social services and income maintenance, employment security administration",2015,4072087,0
0100000US,,United States,2,State,22145,"Direct general expenditure from social services and income maintenance, veterans' services",2015,973227,0
0100000US,,United States,2,State,2215,"Direct general expenditure from transportation, total",2015,X,X
0100000US,,United States,2,State,22151,"Direct general expenditure from transportation, highways, total",2015,100321823,0
0100000US,,United States,2,State,221511,"Direct general expenditure from transportation, highways, capital outlay",2015,67622635,0
0100000US,,United States,2,State,22152,"Direct general expenditure from transportation, air transportation (airports)",2015,2237631,0
0100000US,,United States,2,State,22153,"Direct general expenditure from transportation, parking facilities",2015,11844,0
0100000US,,United States,2,State,22154,"Direct general expenditure from transportation, sea and inland port facilities",2015,1755731,0
0100000US,,United States,2,State,2216,"Direct general expenditure from public safety, total",2015,X,X
0100000US,,United States,2,State,22161,"Direct general expenditure from public safety, police protection",2015,14549918,0
0100000US,,United States,2,State,22162,"Direct general expenditure from public safety, fire protection",2015,X,X
0100000US,,United States,2,State,22163,"Direct general expenditure from public safety, correction, total",2015,49167275,0
0100000US,,United States,2,State,221631,"Direct general expenditure from public safety, correction, capital outlay",2015,1929192,0
0100000US,,United States,2,State,22164,"Direct general expenditure from public safety, protective inspection and regulation",2015,8494185,0
0100000US,,United States,2,State,2217,"Direct general expenditure from enviroment and housing, total",2015,X,X
0100000US,,United States,2,State,22171,"Direct general expenditure from enviroment and housing, natural resources, total",2015,19992138,0
0100000US,,United States,2,State,221711,"Direct general expenditure from enviroment and housing, natural resources, capital outlay",2015,2831670,0
0100000US,,United States,2,State,22172,"Direct general expenditure from enviroment and housing, parks and recreation, total",2015,5227991,0
0100000US,,United States,2,State,221721,"Direct general expenditure from enviroment and housing, parks and recreation, capital outlay",2015,887131,0
0100000US,,United States,2,State,22173,"Direct general expenditure from enviroment and housing, housing and community development",2015,8943637,0
0100000US,,United States,2,State,22174,"Direct general expenditure from enviroment and housing, sewerage, total",2015,1023440,0
0100000US,,United States,2,State,221741,"Direct general expenditure from enviroment and housing, sewerage, capital outlay",2015,58196,0
0100000US,,United States,2,State,22175,"Direct general expenditure from enviroment and housing, solid waste management, total",2015,1129239,0
0100000US,,United States,2,State,221751,"Direct general expenditure from enviroment and housing, solid waste management, capital outlay",2015,122655,0
0100000US,,United States,2,State,2218,"Direct general expenditure from government administration, total",2015,X,X
0100000US,,United States,2,State,22181,"Direct general expenditure from government administration, financial administration",2015,23355163,0
0100000US,,United States,2,State,22182,"Direct general expenditure from government administration, judicial and legal",2015,21739191,0
0100000US,,United States,2,State,22183,"Direct general expenditure from government administration, general public buildings",2015,3804007,0
0100000US,,United States,2,State,22189,"Direct general expenditure from government administration, other governmental administration",2015,4797770,0
0100000US,,United States,2,State,2219,Interest on general debt,2015,44898529,0
0100000US,,United States,2,State,0221A,Direct general expenditure from interest on general debt,2015,X,X
0100000US,,United States,2,State,0221A1,Miscellaneous commercial activities,2015,1868728,0
0100000US,,United States,2,State,0221A9,Other and unallocable,2015,40061383,0
0100000US,,United States,2,State,222,"Utility expenditure, total",2015,28825093,0
0100000US,,United States,2,State,2221,"Utility expenditure, capital outlay",2015,8842925,0
0100000US,,United States,2,State,2222,"Utility expenditure, water supply",2015,356264,0
0100000US,,United States,2,State,2223,"Utility expenditure, electric supply",2015,10081718,0
0100000US,,United States,2,State,2224,"Utility expenditure, gas supply",2015,11836,0
0100000US,,United States,2,State,2225,"Utility expenditure, transit",2015,18375275,0
0100000US,,United States,2,State,223,Liquor store expenditure,2015,6073574,0
0100000US,,United States,2,State,224,"Insurance trust expenditure, total",2015,275067159,0
0100000US,,United States,2,State,2241,"Insurance trust expenditure, unemployment compensation",2015,33219048,0
0100000US,,United States,2,State,2242,"Insurance trust expenditure, employee retirement",2015,225510508,0
0100000US,,United States,2,State,2243,"Insurance trust expenditure, workers' compensation",2015,9772652,0
0100000US,,United States,2,State,2249,"Insurance trust expenditure, other insurance trust",2015,6564951,0
0100000US,,United States,2,State,3,"Debt outstanding, total",2015,1149926081,0
0100000US,,United States,2,State,31,"Debt outstanding, short-term",2015,8255137,0
0100000US,,United States,2,State,32,"Debt outstanding, long-term, total",2015,1141670944,0
0100000US,,United States,2,State,321,"Debt outstanding, long-term, public debt for private purposes",2015,339706353,0
0100000US,,United States,2,State,33,Long-term debt issued,2015,143606333,0
0100000US,,United States,2,State,34,Long-term debt retired,2015,140943651,0
0100000US,,United States,2,State,4,Cash and security holdings,2015,4364129800,0
0100000US,,United States,2,State,41,"Cash and security holdings, insurance trust funds, total",2015,3113027546,0
0100000US,,United States,2,State,411,"Cash and security holdings, insurance trust funds, unemployment compensation",2015,30202225,0
0100000US,,United States,2,State,412,"Cash and security holdings, insurance trust funds, employee retirement",2015,2974423495,0
0100000US,,United States,2,State,413,"Cash and security holdings, insurance trust funds, workers'compensation",2015,99140258,0
0100000US,,United States,2,State,419,"Cash and security holdings, insurance trust funds, miscellaneous",2015,9261568,0
0100000US,,United States,2,State,42,"Cash and security holdings excluding insurance trust funds, total",2015,1251102254,0
0100000US,,United States,2,State,421,"Cash and security holdings excluding insurance trust funds, offsets to debt",2015,451349716,0
0100000US,,United States,2,State,422,"Cash and security holdings excluding insurance trust funds, bond funds",2015,43512350,0
0100000US,,United States,2,State,429,"Cash and security holdings excluding insurance trust funds, other",2015,756240188,0
0100000US,,United States,3,Local,1,Total Revenue,2015,1777150241,0.33
0100000US,,United States,3,Local,11,"General revenue, total",2015,1585318913,0.33
0100000US,,United States,3,Local,111,"General revenue, intergovernmental, total",2015,570953167,0.54
0100000US,,United States,3,Local,1112,"General revenue, intergovernmental from federal government",2015,67103128,0.55
0100000US,,United States,3,Local,1113,"General revenue, intergovernmental from state governments",2015,503850039,0.61
